Sendung,Datum,Titel,Name,Profession,Nationalität,Perspektive_Identität,Geschlecht
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Annalena Baerbock,Politik,deutsch,deutsch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Omid Nouripour,Politik,deutsch,iranisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Armin Laschet,Politik,deutsch,deutsch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Souad Mekhennet,Medien,deutsch,türkisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Souad Mekhennet,Medien,deutsch,marokanisch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Meron Mendel,Zivilgesellschaft,deutsch,jüdisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Meron Mendel,Zivilgesellschaft,israelisch,jüdisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Peter Neumann,Wissenschaft,deutsch,deutsch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Lars Klingbeil,Politik,deutsch,deutsch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Carlo Masala,Wissenschaft,deutsch,italienisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Melody Sucharevicz,Zivilgesellschaft,deutsch,jüdisch,Frau
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Melody Sucharevicz,Zivilgesellschaft,israelisch,jüdisch,Frau
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Ahmad Mansour,Zivilgesellschaft,deutsch,palestinänsisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Ahmad Mansour,Zivilgesellschaft,israelisch,palestinänsisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Shahrzad Eden Osterer,Medien,deutsch,iranisch,Frau
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Joachim Gauck,Zivilgesellschaft,deutsch,deutsch,Mann
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Düzen Tekkal,Zivilgesellschaft,deutsch,jesidisch,Frau
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Christian Mölling,Wissenschaft,deutsch,deutsch,Mann
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Christian Sievers,Medien,deutsch,deutsch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Dmytro Kuleba,Politik,ukrainisch,ukrainisch,Frau
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Wolfgang Ischinger,Zivilgesellschaft,deutsch,deutsch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Daniel Cohn-Bendit,Politik,deutsch,jüdisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Daniel Cohn-Bendit,Politik,französisch,jüdisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Amira Mohamed Ali,Politik,deutsch,ägyptisch,Frau
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Katrin Eigendorf,Medien,deutsch,deutsch,Frau
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Kevin Kühnert,Politik,deutsch,deutsch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Annalena Baerbock,Politik,deutsch,deutsch,Frau
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Gerhard Conrad,Zivilgesellschaft,deutsch,deutsch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Michael Wolffson,Medien,deutsch,jüdisch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Michael Wolffson,Medien,israelisch,jüdisch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Arye Sharuz Shalicar,Politik,israelisch,jüdisch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Ron Prosor,Politik,israelisch,jüdisch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Norbert Röttgen,Politik,deutsch,deutsch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Florence Gaub,Wissenschaft,deutsch,deutsch,Frau
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Yassin Musharbash,Medien,deutsch,jordanisch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Hoda Salah,Wissenschaft,ägyptisch,ägyptisch,Frau
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Arye Sharuz Shalicar,Politik,israelisch,jüdisch,Mann
Markus Lanz,10.10.23,NA ,Kevin Kühnert,Politik,deutsch,deutsch,Mann
Markus Lanz,10.10.23,NA ,Carlo Masala,Wissenschaft,deutsch,italienisch,Mann
Markus Lanz,10.10.23,NA ,Carsten Linnemann,Politik,deutsch,deutsch,Mann
Markus Lanz,10.10.23,NA ,Eva Quadbeck,Medien,deutsch,deutsch,Frau
Markus Lanz,10.10.23,NA ,Melody Sucharevicz,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,10.10.23,NA ,Melody Sucharevicz,Zivilgesellschaft,israelisch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,deutsch,palestinänsisch,Mann
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,israelisch,palestinänsisch,Mann
Markus Lanz,11.10.23,NA ,Florence Gaub,Wissenschaft,deutsch,deutsch,Frau
Markus Lanz,11.10.23,NA ,Michael Roth,Politik,deutsch,deutsch,Mann
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Elmar Theveßen,Medien,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Kai Wegner,Politik,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Melanie Amann,Medien,deutsch,deutsch,Frau
Markus Lanz,17.10.23,NA ,Golineh Atai,Medien,deutsch,iranisch,Frau
Markus Lanz,17.10.23,NA ,Guido Steinberg,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Anna Staroselski,Zivilgesellschaft,deutsch,jüdisch,Frau
