Sendung,Datum,Titel,Name,Profession,Nationalität,Perspektive_Identität,Geschlecht
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Abdul Chahin,Zivilgesellschaft,deutsch,palästinensisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Ahmad Mansour,Zivilgesellschaft,deutsch,palästinensisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Ahmad Mansour,Zivilgesellschaft,israelisch,palästinensisch,Mann
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,deutsch,palästinensisch,Mann
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,israelisch,palästinensisch,Mann
Markus Lanz,29.11.23,NA,Alon Meyer,Zivilgesellschaft,deutsch,jüdisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Amira Mohamed Ali,Politik,deutsch,ägyptisch,Frau
Markus Lanz,19.10.23,NA ,Andreas Reinicke,Zivilgesellschaft,deutsch,deutsch,Mann
Markus Lanz,14.11.23,NA,Andreas Reinicke,Zivilgesellschaft,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Anna Staroselski,Zivilgesellschaft,deutsch,jüdisch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Annalena Baerbock,Politik,deutsch,deutsch,Frau
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Annalena Baerbock,Politik,deutsch,deutsch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Armin Laschet,Politik,deutsch,deutsch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Arye Sharuz Shalicar,Politik,israelisch,jüdisch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Arye Sharuz Shalicar,Politik,israelisch,jüdisch,Mann
Markus Lanz,07.11.23,NA,Bettina Dickes,Politik,deutsch,deutsch,Frau
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Carl Bildt,Politik,schwedisch,schwedisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Carlo Masala,Wissenschaft,deutsch,italienisch,Mann
Markus Lanz,10.10.23,NA ,Carlo Masala,Wissenschaft,deutsch,italienisch,Mann
Markus Lanz,10.10.23,NA ,Carsten Linnemann,Politik,deutsch,deutsch,Mann
Markus Lanz,6.11.23,NA,Christian Dürr,Politik,deutsch,deutsch,Mann
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Christian Mölling,Wissenschaft,deutsch,deutsch,Mann
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Christian Sievers,Medien,deutsch,deutsch,Mann
Markus Lanz,6.11.23,NA,Christopher Clark,Wissenschaft,australisch,australisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Daniel Cohn-Bendit,Politik,deutsch,jüdisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Daniel Cohn-Bendit,Politik,französisch,jüdisch,Mann
Anne Will,03.12.23,Die Welt in Unordnung – Ist Deutschland den Herausforderungen gewachsen?,David Kermani,Medien,deutsch,iranisch,Mann
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,01.11.23,NA ,Deborah Feldman,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,01.11.23,NA ,Deborah Feldman,Zivilgesellschaft,deutsch,jüdisch,Frau
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Deniz Yücel,Medien,deutsch,türkisch,Mann
Markus Lanz,29.11.23,NA,Dietrich Schulze-Marmeling,Medien,deutsch,deutsch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Dmytro Kuleba,Politik,ukrainisch,ukrainisch,Frau
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Düzen Tekkal,Zivilgesellschaft,deutsch,jesidisch,Frau
Markus Lanz,11.10.23,NA ,Elmar Theveßen,Medien,deutsch,deutsch,Mann
Markus Lanz,07.11.23,NA,Eren Güvercin,Zivilgesellschaft,deutsch,türkisch,Mann
Markus Lanz,10.10.23,NA ,Eva Quadbeck,Medien,deutsch,deutsch,Frau
Markus Lanz,30.11.23,NA,Eva Quadbeck,Medien,deutsch,deutsch,Frau
